sl,text,Sentiment,Emotion,
1,@SouthwestAir you're my early frontrunner for best airline! #oscars2016,positive,Joy,
2,@USAirways how is it that my flt to EWR was Cancelled Flightled yet flts to NYC from USAirways are still flying?,negative,Anger,
3,@JetBlue what is going on with your BDL to DCA flights yesterday and today?! Why is every single one getting delayed?,negative,Anger,
4,"@JetBlue do they have to depart from Washington, D.C.??",neutral,Others,
5,@JetBlue I can probably find some of them. Are the ticket #s on there?,negative,Anger,
6,@united still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here,negative,Sadness,
7,@united Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.,negative,Anger,
8,@JetBlue Thank you ! What about Paris ? Could we arrange something from there ?,neutral,Others,
9,"@united not 100% sure, however my ticket included one checked bag, therefore this charge was extra and completely unanticipated.",negative,Sadness,
10,"@usairways great crew for flight 504 PHX to YVR tonight! Friendly, efficient. Awesome job.",positive,Joy,
11,@USAirways I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable.,negative,Anger,
12,@SouthwestAir I DM'd you,neutral,Others,
13,@SouthwestAir Already signed up!  Thanks!  Looking forward to trying the Southwest experience.,positive,Joy,
14,@SouthwestAir it was 3472,neutral,Others,
15,@USAirways Oh well. I'll get to Cancun eventually.,positive,Others,
16,@USAirways flight 837 passengers stuck on plane in Philly. Where is the gangway?  We can't hear the pilot,negative,Anger,
17,"@AmericanAir No, had already waited an hour for it and wanted to get home.",negative,Anger,
18,@SouthwestAir thanks for the quick response. Should I call daily it wait the 5 days.,positive,Joy,
19,@JetBlue now we dont have enough money for parking in your garage this is your fault and im not paying for what should be 10mins into 3hrs,negative,Sadness,
20,@JetBlue 266 at LGB in Sunny So Cal http://t.co/V015PK7DSi,neutral,Others,
21,@AmericanAir @yvonneokaka When do I get my personal response and apology for your crew's having forgotten to load baggage onto my flight?,negative,Anger,
22,"@JetBlue No, he didn't have more info. I was more infuriated by the way previous rep treated me. how she can possibly work as a JetBlue rep?",negative,Anger,
23,@united is a money sucking airline with terrible terrible customer service,negative,Anger,
24,@AmericanAir and btwn gate a8 &amp; a15 I lost a diamond earring #dayjustgotWORSE! Pls have maintenance look for it!! http://t.co/UieSR3GHHO,neutral,Others,
25,"@USAirways #ShoutOut 2 Kristie(sp?) from Gate4 @ PVD today. She's a #RockStar, was a tremendous help in a tough situation. #PromoteThatGirl",positive,Joy,
26,"@USAirways My family, friends and colleagues will NEVER  fly USAir again. Bad weather happens. The good airlines seem to communicate better.",negative,Sadness,
27,"@JetBlue we have just landed, thank you anyway. Btw, flight staff on flight 654 were wonderful despite their full day and heavy load.",positive,Joy,
28,@JetBlue @airbusintheus A320 landing @aruba_airport in February of 2014. #avgeek #warmweather https://t.co/Kaej9G0CHd,neutral,Others,
29,"@SouthwestAir Ahhhh! Sorry, just followed.",neutral,Others,
30,@AmericanAir the ticket is a poor gesture of goodwill (for missed trip) to a top status flyer - I may not next time (AA91 LHR-ORD 2/16),negative,Anger,
31,"@USAirways : When You've Got to Get There, We've Got Excuses! #usairwaysfail",negative,Anger,
32,@JetBlue I'll pass along the advice. You guys rock!!,positive,Joy,
33,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp; yr website is BEST transactional site EVER,positive,Joy,
34,@JetBlue haha no need to apologize ð I'll be Flight Booking Problems sooner than Late Flightr. I love JetBlue,positive,Joy,
35,@SouthwestAir been on hold  for 2 1/2 hrs. Can't get 2 airport 4 flight icy country backroads! Help pls? Can a human answer? #BNA,negative,Anger,
36,"@SouthwestAir 14 hours????  Sorry don't get it. Oh well. Screw the weekend in Az right?  Eat the hotel, no problem.",negative,Anger,
37,@united No wonder the cabin is filthy. #badservice,negative,Sadness,
38,"@USAirways do you operate ANY flights without maintenance issues? Flights in/out of DCA Cancelled Flighted, this is getting old. Update fleet pls!",negative,Anger,
39,@united or I'm sure her business will go else where for airline travel. Her name is Kathryn Sotelo,negative,Anger,
40,"@USAirways: I relied on US Airways, and that was my mistake. Awful customer experience.",negative,Sadness,
41,@AmericanAir my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?,negative,Anger,
